carrier,date,comp_alt_trans,comp_no_trans,comp_volunteers,denied_boarding,downgrades,no_comp_fail_comply,no_comp_new_flight,no_comp_small_equip,pass_no_trans,pass_trans,receive_comp,total_boardings,upgrades,volunteer_for_pay,denied_per_10k
AirTran,2008-04-01,0.0,30206.0,0.0,139.0,0.0,25.0,0.0,0.0,114.0,0.0,114.0,6533427.0,0.0,6877.0,0.21275205187109306
AirTran,2008-07-01,0.0,44564.0,0.0,321.0,0.0,134.0,0.0,0.0,187.0,0.0,187.0,6612928.0,0.0,14827.0,0.48541281562418337
AirTran,2008-10-01,0.0,36961.0,0.0,172.0,0.0,11.0,0.0,0.0,161.0,0.0,161.0,5754446.0,0.0,10948.0,0.2988993206296488
AirTran,2009-01-01,0.0,46591.0,0.0,188.0,0.0,8.0,0.0,0.0,180.0,0.0,180.0,5344683.0,0.0,10270.0,0.3517514509279596
AirTran,2009-04-01,0.0,35803.0,0.0,189.0,0.0,24.0,0.0,0.0,165.0,0.0,165.0,6208390.0,0.0,6899.0,0.30442675154105975
AirTran,2009-07-01,14698.0,0.0,0.0,55.0,0.0,1.0,0.0,0.0,54.0,0.0,54.0,6533184.0,0.0,7699.0,0.08418559771162117
AirTran,2009-10-01,31041.0,0.0,0.0,137.0,0.0,13.0,0.0,0.0,124.0,0.0,124.0,5911553.0,0.0,9042.0,0.23174959270431983
AirTran,2010-01-01,94438.0,0.0,0.0,283.0,0.0,6.0,0.0,0.0,277.0,0.0,277.0,5526408.0,0.0,15285.0,0.5120866935629798
AirTran,2010-04-01,62738.0,0.0,0.0,321.0,0.0,122.0,0.0,0.0,199.0,0.0,199.0,6534974.0,0.0,16231.0,0.4912031784671217
AirTran,2010-07-01,41381.0,0.0,0.0,197.0,0.0,44.0,0.0,0.0,153.0,0.0,153.0,6538710.0,0.0,11322.0,0.3012826689056404
AirTran,2010-10-01,23131.0,0.0,0.0,161.0,0.0,12.0,0.0,0.0,149.0,0.0,149.0,6121134.0,0.0,10016.0,0.2630231587807096
AirTran,2011-04-01,49841.0,0.0,0.0,284.0,0.0,13.0,0.0,0.0,271.0,0.0,271.0,6704438.0,0.0,11766.0,0.42360000942659176
AirTran,2011-07-01,80825.0,0.0,0.0,369.0,0.0,9.0,0.0,0.0,360.0,0.0,360.0,6533019.0,0.0,13380.0,0.5648230932743346
AirTran,2011-10-01,186292.0,0.0,0.0,404.0,0.0,2.0,0.0,0.0,402.0,0.0,402.0,5855058.0,0.0,10556.0,0.6900017045091611
AirTran,2011-01-01,35140.0,0.0,0.0,246.0,0.0,7.0,0.0,0.0,239.0,0.0,239.0,5604721.0,0.0,9648.0,0.4389156926812236
AirTran,2012-01-01,268773.0,0.0,0.0,431.0,0.0,2.0,0.0,0.0,429.0,0.0,429.0,5188466.0,0.0,10427.0,0.8306886852491662
AirTran,2012-04-01,277201.0,0.0,0.0,601.0,0.0,34.0,0.0,0.0,567.0,0.0,567.0,5990763.0,0.0,12026.0,1.0032111101707746
AirTran,2012-07-01,144908.0,0.0,0.0,365.0,0.0,5.0,0.0,0.0,360.0,0.0,360.0,5658334.0,0.0,9041.0,0.6450661979303449
AirTran,2012-10-01,337694.0,0.0,0.0,663.0,0.0,9.0,0.0,0.0,654.0,0.0,654.0,4906630.0,0.0,7e3,1.3512329236155975
AirTran,2013-01-01,487449.0,0.0,0.0,841.0,0.0,7.0,0.0,0.0,834.0,0.0,834.0,4525112.0,0.0,10336.0,1.858517535035597
AirTran,2013-04-01,368761.0,0.0,0.0,683.0,0.0,12.0,0.0,0.0,671.0,0.0,671.0,5031798.0,0.0,8832.0,1.3573676844738203
AirTran,2013-07-01,147494.0,0.0,0.0,276.0,0.0,5.0,0.0,0.0,271.0,0.0,271.0,4452451.0,0.0,4799.0,0.6198832957398072
AirTran,2013-10-01,330009.0,0.0,0.0,502.0,0.0,30.0,0.0,0.0,472.0,0.0,472.0,3822884.0,0.0,3507.0,1.313144735754472
AirTran,2014-01-01,487449.0,0.0,0.0,841.0,0.0,7.0,0.0,0.0,834.0,0.0,834.0,4525112.0,0.0,10336.0,1.858517535035597
AirTran,2014-04-01,386411.0,0.0,0.0,581.0,0.0,13.0,0.0,0.0,568.0,0.0,568.0,2692186.0,0.0,2251.0,2.15809754600908
AirTran,2014-07-01,192613.0,0.0,0.0,385.0,0.0,2.0,0.0,0.0,383.0,0.0,383.0,2027579.0,0.0,1515.0,1.8988162730034193
AirTran,2014-10-01,44324.0,0.0,0.0,82.0,0.0,7.0,0.0,0.0,75.0,0.0,75.0,1090988.0,0.0,394.0,0.7516123000436302
Alaska,2008-01-01,0.0,27256.0,0.0,297.0,11.0,90.0,3.0,16.0,188.0,0.0,188.0,3619711.0,73.0,2485.0,0.8205074935540434
Alaska,2008-04-01,0.0,12274.0,0.0,183.0,14.0,63.0,12.0,31.0,77.0,0.0,77.0,4083082.0,53.0,1995.0,0.44819085191039515
Alaska,2008-07-01,0.0,15064.0,0.0,210.0,12.0,50.0,7.0,47.0,106.0,0.0,106.0,4330749.0,33.0,1877.0,0.484904574243393
Alaska,2008-10-01,0.0,22746.0,0.0,293.0,8.0,89.0,27.0,32.0,145.0,0.0,145.0,3512911.0,18.0,1771.0,0.8340661064285433
Alaska,2009-01-01,0.0,180416.0,0.0,856.0,5.0,295.0,36.0,46.0,479.0,0.0,479.0,3258996.0,31.0,2326.0,2.6265757920537487
